source	ign	reason
blacklists	hexration	Type E (Conduct II) — Allowed someone access to his pc, who used a glitch hexration was aware of to get staff, who then proceeded to ban multiple players. Refused to share who the perpetrator was.
punishment_logs_perma_ban	kowombo	updating to permanent
punishment_logs_perma_ban	interviews	3rd ban, lied about blatant proof. Does not show any will to reform himself or improve in any way. Therefore, permanent.
blacklists	kingofotters	Type A (Cheating)
blacklists	dozzs	Type D (Conduct)
admin_blacklists	safelogged	Type A.2 (Cheating II)
blacklists	safelogged	Type A.2 (Cheating II)
admin_blacklists	uhsix	Type E (Conduct II)
blacklists	uhsix	Type E (Conduct II)
admin_blacklists	cocostaryuu	Type D (Conduct)
blacklists	cocostaryuu	Type D (Conduct)
admin_blacklists	peekss	Type D (Conduct)
blacklists	peekss	Type D (Conduct)
admin_blacklists	skinnynoonie	Type E (Conduct II)
blacklists	skinnynoonie	Type E (Conduct II)
admin_blacklists	gobeman	Type D (Conduct)
blacklists	gobeman	Type D (Conduct)
admin_blacklists	fattycheese	Type A (Cheating)
blacklists	fattycheese	Type A (Cheating)
admin_blacklists	xratmode	Type A (Cheating)
blacklists	xratmode	Type A (Cheating)
admin_blacklists	zeezeeeee	Type E (Conduct II)
blacklists	zeezeeeee	Type E (Conduct II)
admin_blacklists	foqeee2	Type E (Conduct II)
blacklists	foqeee2	Type E (Conduct II)
admin_blacklists	crazy919	Type E (Conduct II)
blacklists	crazy919	Type E (Conduct II)
admin_blacklists	veenry	Type E (Conduct II)
blacklists	veenry	Type E (Conduct II)
admin_blacklists	testingcornchops	Type F (Conduct III)
admin_blacklists	gangmemb3rvallzo	Type F (Conduct III)
blacklists	gangmemb3rvallzo	Type F (Conduct III)
admin_blacklists	viiiiiiiiili	Type F (Conduct III)
blacklists	viiiiiiiiili	Type F (Conduct III)
admin_blacklists	valentinoh	Type F (Conduct III)
blacklists	valentinoh	Type F (Conduct III)
admin_blacklists	orychi	Type F (Conduct III)
blacklists	orychi	Type F (Conduct III)
admin_blacklists	vallzo	Type F (Conduct III)
blacklists	vallzo	Type F (Conduct III)
admin_blacklists	vallz0	Type F (Conduct III)
blacklists	vallz0	Type F (Conduct III)
admin_blacklists	femboy1o	Type F (Conduct III)
blacklists	femboy1o	Type F (Conduct III)
admin_blacklists	zelth	Type F (Conduct III)
blacklists	zelth	Type F (Conduct III)
admin_blacklists	veltrohkissedme	Type D (Conduct)
blacklists	veltrohkissedme	Type C.2 (Security III)
admin_blacklists	pactel	Type D (Conduct)
blacklists	pactel	Type D (Conduct)
